fecha,estacion,distrito,precio_reportado,calificacion,comentario
2026-06-20 23:47,COESTI S.A — AV. AVIACION N° 4524 ESQUINA CON LA AV. VILLARAN,SURQUILLO,15.55,3,
2026-06-20 23:50,APOLLO¿S MARKET S.A.C.  — AV. PROLONGACION IQUITOS CDRA. 25 S/N.,LINCE,18.4,5,Pocos carros
